Armstrong Bookkeeping	10 Holborn Ct, Kitchener, ON N2A 3Y9, Canada	0900-1700	43.4510095	-80.4417703	accounting
Deloitte	317 Speedvale Ave E #4b, Guelph, ON N1E 1N3, Canada	Unknown	43.56491090000001	-80.2588798	accounting
Caissa LLP	350 Speedvale Ave W #8, Guelph, ON N1H 7M7, Canada	0830-1700	43.5418604	-80.290381	accounting
Curtis-Villar LLP	30 Norwich St E, Guelph, ON N1H 2G6, Canada	0900-1700	43.5493722	-80.254498	accounting
KPMG	115 King St S 2nd Floor, Waterloo, ON N2J 5A3, Canada	0830-1630	43.46239	-80.52189299999999	accounting
Forsyth Financial Services Inc.	634 Pine St, Cambridge, ON N3H 2S8, Canada	Unknown	43.38838399999999	-80.33699399999999	accounting
Tonin & Co. LLP Chartered Accountants	350 Speedvale Ave W #5, Guelph, ON N1H 7M7, Canada	0800-1700	43.541861	-80.29042199999999	accounting
Reliance Tax & Accounting Services	259 Stephanie Dr, Guelph, ON N1K 1L5, Canada	1000-1800	43.5230087	-80.2768691	accounting
Edward Jones - Financial Advisor: Dale A Huber	370 University Avenue East Ste#104, Waterloo, ON N2K 3N2, Canada	0900-1600	43.4898515	-80.49517700000001	accounting
MNP LLP	73 Water St N Suite 600, Cambridge, ON N1R 7L6, Canada	0830-1700	43.36156099999999	-80.314731	accounting
DLB Consulting	520 Queen St S, Kitchener, ON N2G 1X1, Canada	0900-1700	43.44422400000001	-80.495355	accounting
Edward Jones - Financial Advisor: James Rankin	23 Wellington St E Unit #4, Guelph, ON N1H 3R7, Canada	0830-1700	43.5422741	-80.2432966	accounting
H&R Block	2960 Kingsway Dr Fairview Park Mall, Kitchener, ON N2C 1X1, Canada	Unknown	43.4243336	-80.4385576	accounting
Embree & Co LLP	223 King St E, Cambridge, ON N3H 3M5, Canada	0830-1700	43.3990031	-80.3640564	accounting
H&R Block	470 Highland Rd W, Kitchener, ON N2M 3C7, Canada	1000-1500	43.4365192	-80.5142798	accounting
Grant Thornton LLP	60 Bathurst Dr Unit 6, Waterloo, ON N2V 2A9, Canada	0830-1700	43.5083782	-80.5391343	accounting
Complete Tax & Business Services	226 Speedvale Ave W, Guelph, ON N1H 1C4, Canada	0900-1700	43.5477095	-80.28229019999999	accounting
Edward Jones - Financial Advisor: Jessica Dailley	7 Grand Ave S Suite 108, Cambridge, ON N1S 2L3, Canada	Unknown	43.3580402	-80.3173429	accounting
Baker Tilly GWD (formerly Collins Barrow)	450 Speedvale Ave W Unit 113, Guelph, ON N1H 7Y6, Canada	0830-1700	43.5394084	-80.2933651	accounting
Zebroski And Associates	490 Dutton Dr c9, Waterloo, ON N2L 6H7, Canada	0800-1700	43.493163	-80.53852599999999	accounting
Softron Tax	435 Stone Rd W, Guelph, ON N1G 2X6, Canada	1100-1900	43.51854300000001	-80.238405	accounting
Bottom Line Bookkeeping + Business Services	7297 Calfass Rd, Puslinch, ON N0B 2J0, Canada	Unknown	43.43525959999999	-80.1339777	accounting
Edward Jones - Financial Advisor: Steve Blakeley	570 Kortright Rd W Unit #12, Guelph, ON N1G 3W8, Canada	0800-1700	43.5085791	-80.23066150000001	accounting
Cardy Winters & Simon LLP	630 Riverbend Dr, Kitchener, ON N2K 3S2, Canada	0800-1600	43.4746541	-80.47874209999999	accounting
Accounting 911	59 Blackhorne Dr, Kitchener, ON N2E 1T5, Canada	0900-2000	43.4148414	-80.4823273	accounting
Calculated Success Inc	450 Speedvale Ave W, Guelph, ON N1H 7Y6, Canada	0800-1630	43.5390532	-80.2926365	accounting
Prestige Home Inspection Service	11 Devonglen Dr, Kitchener, ON N2E 1Z6, Canada	0900-2100	43.41124279999999	-80.47334599999999	accounting
RLB LLP Fergus Office	686 St David St N, Fergus, ON N1M 2K8, Canada	0900-1700	43.7103196	-80.38542269999999	accounting
Kevin Shantz Professional Corporation	22 King St S #300, Waterloo, ON N2J 1N8, Canada	0900-1700	43.4647024	-80.521901	accounting
Tax Shield Inc	Cambridge Centre, 355 Hespeler Rd #138, Cambridge, ON N1R 6B3, Canada	0930-1900	43.393115	-80.319678	accounting
Ark Accounting & Tax Professional Corporation	230 East Ave #202, Kitchener, ON N2H 1Z4, Canada	0900-1700	43.4513381	-80.4713367	accounting
Tax Shield Inc	50 Fleming Dr, Cambridge, ON N1T 2B1, Canada	1000-1900	43.41207199999999	-80.294569	accounting
Atlas Tax Consulting	314 Imperial Rd S, Guelph, ON N1K 1M2, Canada	0900-2100	43.5253246	-80.2793432	accounting
Thornegate Consulting	385 Forestlawn Rd, Waterloo, ON N2K 2J4, Canada	0900-1700	43.4995425	-80.5003492	accounting
Royal City Bookkeeping Services Limited	512 Woolwich St, Guelph, ON N1H 3X7, Canada	0900-1700	43.5549203	-80.2645897	accounting
Edward Jones - Financial Advisor: Bob Vine	800 Franklin Blvd Unit C1, Cambridge, ON N1R 7Z1, Canada	Unknown	43.3796978	-80.2996009	accounting
Simply Bookkeeping Svc	646 North St, Cambridge, ON N3H 1G7, Canada	1000-1630	43.4014732	-80.3538537	accounting
Eggett Tax Services	447 Frederick St Unit 301, Kitchener, ON N2H 2P4, Canada	0900-1700	43.4582689	-80.47256399999999	accounting
Lynley Schwartzentruber, Small Business Advisor	1249 Fairview Rd, Cambridge, ON N3H 4M2, Canada	Unknown	43.396118	-80.342863	accounting
Arlen G E Chartered Accountant	295 Southgate Dr, Guelph, ON N1G 3M5, Canada	Unknown	43.50219209999999	-80.2159665	accounting
Bank Roll Bookkeeping	259 Metcalfe St, Guelph, ON N1E 4Y8, Canada	Unknown	43.5627429	-80.25707009999999	accounting
Edward Jones - Financial Advisor: Archie Braga	315 Queen St Unit #2, Acton, ON L7J 1R1, Canada	0830-1730	43.63644809999999	-80.0299663	accounting
Goetz & Dunbar Professional Corporation	706 King St E, Kitchener, ON N2G 2M5, Canada	0830-1630	43.4448179	-80.4777805	accounting
Drouillard Sambrook Kingston LLP (DSK)	344 Queen St W, Cambridge, ON N3C 1G8, Canada	0800-1700	43.4240953	-80.3233126	accounting
Lund & Associates	1183 King St E, Kitchener, ON N2G 2N3, Canada	0830-1700	43.44121860000001	-80.4703921	accounting
Dynac Inc	35 Centennial Rd, Kitchener, ON N2B 3E9, Canada	Unknown	43.4730792	-80.4311862	accounting
Vestige Consultants	292 Harris St, Rockwood, ON N0B 2K0, Canada	0900-1700	43.6188904	-80.1337197	accounting
Smart Bookkeeping Solutions	259 Metcalfe St, Guelph, ON N1E 4Y8, Canada	0900-1700	43.5627429	-80.25707009999999	accounting
Mulrooney & Associates Incorporated	335 Lancaster St W, Kitchener, ON N2H 4V4, Canada	0830-1700	43.46974340000001	-80.48464129999999	accounting
Deluxe | Payroll	420 Sheldon Dr 1st floor, Cambridge, ON N1T 2H9, Canada	0700-2000	43.4089248	-80.2939976	accounting
Edward Jones - Financial Advisor: David Friesen	180 King St S Suite 150, Waterloo, ON N2J 1P8, Canada	0900-1630	43.4607695	-80.51935259999999	accounting
Tax Care Inc	Unit F2 at, 420 Weber St N, Waterloo, ON N2L 4E7, Canada	0900-1700	43.4857944	-80.5286517	accounting
Gray David w CA	15 Surrey St W, Guelph, ON N1H 3R3, Canada	Unknown	43.5406229	-80.24614799999999	accounting
Daleview Business Services	10 Karl Crt, Cambridge, ON N3C 3R4, Canada	0900-1700	43.4217857	-80.30068159999999	accounting
Books By Kristi	119 University Ave #31, Waterloo, ON N2J 2W1, Canada	0900-1700	43.4791064	-80.5162405	accounting
Vermeulen & Vermeulen Financial Services	100 Crimea St suite b5, Guelph, ON N1H 2Y6, Canada	Unknown	43.5371099	-80.2624975	accounting
Stickland Bookkeeping	744 Elgin Street North, Cambridge, ON N1R 7W8, Canada	0930-1600	43.3865728	-80.31357109999999	accounting
Edward Jones - Financial Advisor: Lucian J Vermeulen, CFP®|CIM®	7 Edinburgh Rd S Suite 4, Guelph, ON N1H 5N8, Canada	0830-1630	43.5370812	-80.25974529999999	accounting
Toffson Management	671 Belmont Ave W, Kitchener, ON N2M 1N8, Canada	1000-1700	43.45288349999999	-80.5179333	accounting
Fritsch & Laitar	375 University Ave E, Waterloo, ON N2K 3M7, Canada	0830-1700	43.4888511	-80.494215	accounting
Elmira (East) Airport	6600 Line 86, Elmira, ON N3B 2Z2, Canada	Unknown	43.59443040000001	-80.5117205	airport
Smith Field	Erin, ON L0N, Canada	Unknown	43.7758449	-80.229815	airport
Fergus (Juergensen Field) Airport	Centre Wellington, ON N0B, Canada	Unknown	43.73543899999999	-80.44736999999999	airport
Reid's Field	Cambridge, ON N3C 2V4, Canada	Unknown	43.444063	-80.233233	airport
Elmira Airport	1845 Listowel Rd, Elmira, ON N3B 2Z3, Canada	Unknown	43.58472210000001	-80.6079985	airport
Region of Waterloo International Airport	4881 Fountain St N #1, Breslau, ON N0B 1M0, Canada	Unknown	43.4557903	-80.3858475	airport
Arthur East Airfield	Arthur, ON N0G 1A0, Canada	Unknown	43.84013399999999	-80.442448	airport
Velcon Canada Inc	241 Shearson Crescent, Cambridge, ON N1T 1J5, Canada	Unknown	43.39873100000001	-80.296515	airport
York Soaring Association	7296 5th Line, Belwood, ON N0B 1J0, Canada	0900-1900	43.838284	-80.439116	airport
Bayside Toronto Airport Limo	8172 Tenth Line N, Halton Hills, ON L0P 1K0, Canada	Unknown	43.6016067	-79.8136652	airport
Rockton Aerodrome	1144 Cooper Rd, Cambridge, ON N1R 5S2, Canada	Unknown	43.32222219999999	-80.17638889999999	airport
Guelph AirPark	50 Skyway Dr, Guelph, ON N1H 6H8, Canada	Unknown	43.563755	-80.191492	airport
Flight Center	4881 Fountain St N, Breslau, ON N0B 1M0, Canada	Unknown	43.4558541	-80.3857493	airport
Red Carpet Car Service	602 Langs Dr, Cambridge, ON N3H 2N5, Canada	Unknown	43.3985744	-80.3402404	airport
Fergus (Vodarek Field) Aerodrome	Centre Wellington, ON N1M 2W5, Canada	Unknown	43.7232183	-80.2894058	airport
Kitchener Helipad	Cherry Hill, Kitchener, ON N2G 2E6, Canada	Unknown	43.4528639	-80.503691	airport
Fergus Royland	Centre Wellington, ON N1M 2W4, Canada	Unknown	43.7418263	-80.3863509	airport
Mckab Taxi	55 Sinclair Ave, Georgetown, ON L7G 4X4, Canada	Unknown	43.651632	-79.894978	airport
Brampton Flight Centre and Flying Club	13691 McLaughlin Rd, Cheltenham, ON L7C 2B2, Canada	0700-0000	43.7589062	-79.8775363	airport
CFC8	Unnamed Road, Millgrove, ON L0R 1V0, Canada	Unknown	43.3705294	-79.9320767	airport
Metz Feild	"43°48'38.0""N 80°26'09.0""W, Centre Wellington, ON N0G 1A0, Canada"	Unknown	43.8105556	-80.4358333	airport
Burlington Executive Airpark Airport	5296 Bell School Line, Burlington, ON L7M 0P3, Canada	Unknown	43.4415091	-79.8502388	airport
Martin Airfield	East Garafraxa, ON L0N 1G0, Canada	Unknown	43.8745087	-80.28442179999999	airport
